"id","sportId","slug","name","shortName","logoUrl","countryCode","createdAt","updatedAt"
"cmgr6skox0007uvo8dbbpyn0m","cmgk8rmqd0009uve4kj6jpl8r","guadalajara-chivas","Guadalajara Chivas","GUA","https://media.api-sports.io/football/teams/2278.png","Mexico","2025-10-14 23:22:05.122","2025-10-14 23:22:05.122"
"cmgr6skp9000duvo8tyh6hgjf","cmgk8rmqd0009uve4kj6jpl8r","tigres-uanl","Tigres UANL","UAN","https://media.api-sports.io/football/teams/2279.png","Mexico","2025-10-14 23:22:05.134","2025-10-14 23:22:05.134"
"cmgr6skpg000juvo816mtq97r","cmgk8rmqd0009uve4kj6jpl8r","club-tijuana","Club Tijuana","CLU","https://media.api-sports.io/football/teams/2280.png","Mexico","2025-10-14 23:22:05.141","2025-10-14 23:22:05.141"
"cmgr6skpp000puvo8hvn4tuwu","cmgk8rmqd0009uve4kj6jpl8r","toluca","Toluca","TOL","https://media.api-sports.io/football/teams/2281.png","Mexico","2025-10-14 23:22:05.15","2025-10-14 23:22:05.15"
"cmgr6skpy000vuvo8yqv047f2","cmgk8rmqd0009uve4kj6jpl8r","monterrey","Monterrey","MON","https://media.api-sports.io/football/teams/2282.png","Mexico","2025-10-14 23:22:05.158","2025-10-14 23:22:05.158"
"cmgr6skq70011uvo8skrc7afu","cmgk8rmqd0009uve4kj6jpl8r","atlas","Atlas","ATL","https://media.api-sports.io/football/teams/2283.png","Mexico","2025-10-14 23:22:05.167","2025-10-14 23:22:05.167"
"cmgr6skqd0017uvo86n00v8m8","cmgk8rmqd0009uve4kj6jpl8r","santos-laguna","Santos Laguna","SAN","https://media.api-sports.io/football/teams/2285.png","Mexico","2025-10-14 23:22:05.174","2025-10-14 23:22:05.174"
"cmgr6skqm001duvo8hipxjzc3","cmgk8rmqd0009uve4kj6jpl8r","u.n.a.m.---pumas","U.N.A.M. - Pumas","UNA","https://media.api-sports.io/football/teams/2286.png","Mexico","2025-10-14 23:22:05.182","2025-10-14 23:22:05.182"
"cmgr6skqu001juvo8unynnmye","cmgk8rmqd0009uve4kj6jpl8r","club-america","Club America","CLU","https://media.api-sports.io/football/teams/2287.png","Mexico","2025-10-14 23:22:05.19","2025-10-14 23:22:05.19"
"cmgr6skr3001puvo8e41p6be2","cmgk8rmqd0009uve4kj6jpl8r","necaxa","Necaxa","NEC","https://media.api-sports.io/football/teams/2288.png","Mexico","2025-10-14 23:22:05.199","2025-10-14 23:22:05.199"
"cmgr6skr9001vuvo8d5kbe3pl","cmgk8rmqd0009uve4kj6jpl8r","leon","Leon","CLU","https://media.api-sports.io/football/teams/2289.png","Mexico","2025-10-14 23:22:05.205","2025-10-14 23:22:05.205"
"cmgr6skri0021uvo82cnvbklb","cmgk8rmqd0009uve4kj6jpl8r","club-queretaro","Club Queretaro","QUE","https://media.api-sports.io/football/teams/2290.png","Mexico","2025-10-14 23:22:05.215","2025-10-14 23:22:05.215"
"cmgr6skrp0027uvo8il4rjyh8","cmgk8rmqd0009uve4kj6jpl8r","puebla","Puebla","PUE","https://media.api-sports.io/football/teams/2291.png","Mexico","2025-10-14 23:22:05.222","2025-10-14 23:22:05.222"
"cmgr6skrv002duvo8ume5r6fb","cmgk8rmqd0009uve4kj6jpl8r","pachuca","Pachuca","PAC","https://media.api-sports.io/football/teams/2292.png","Mexico","2025-10-14 23:22:05.228","2025-10-14 23:22:05.228"
"cmgr6sks5002juvo8xto8mipx","cmgk8rmqd0009uve4kj6jpl8r","cruz-azul","Cruz Azul","CRU","https://media.api-sports.io/football/teams/2295.png","Mexico","2025-10-14 23:22:05.238","2025-10-14 23:22:05.238"
"cmgr6sksb002puvo8l48a7i3m","cmgk8rmqd0009uve4kj6jpl8r","fc-juarez","FC Juarez","FC ","https://media.api-sports.io/football/teams/2298.png","Mexico","2025-10-14 23:22:05.243","2025-10-14 23:22:05.243"
"cmgr6sksk002vuvo8j6je8hay","cmgk8rmqd0009uve4kj6jpl8r","atletico-san-luis","Atletico San Luis","ASL","https://media.api-sports.io/football/teams/2314.png","Mexico","2025-10-14 23:22:05.253","2025-10-14 23:22:05.253"
"cmgr6sksr0031uvo8002pzboj","cmgk8rmqd0009uve4kj6jpl8r","mazatlán","Mazatlán","MAZ","https://media.api-sports.io/football/teams/14002.png","Mexico","2025-10-14 23:22:05.259","2025-10-14 23:22:05.259"
